Sekce,Typ otázky,Otázka,Správná odpověď,Vysvětlení
B,Je zastávka na lince? (ANO),"Je zastávka „Lesná Čertova rokle"" na lince 7?",ANO,"Ano, zastávka Lesná Čertova rokle se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Halasovo náměstí"" na lince 7?",ANO,"Ano, zastávka Halasovo náměstí se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Fügnerova"" na lince 7?",ANO,"Ano, zastávka Fügnerova se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Bieblova"" na lince 7?",ANO,"Ano, zastávka Bieblova se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Lesnická"" na lince 7?",ANO,"Ano, zastávka Lesnická se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Černá Pole Zemědělská (Lesnická)"" na lince 7?",ANO,"Ano, zastávka Černá Pole Zemědělská (Lesnická) se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Tomanova"" na lince 7?",ANO,"Ano, zastávka Tomanova se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Jugoslávská (Lesná)"" na lince 7?",ANO,"Ano, zastávka Jugoslávská (Lesná) se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Jugoslávská (Cejl)"" na lince 7?",ANO,"Ano, zastávka Jugoslávská (Cejl) se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Tkalcovská"" na lince 7?",ANO,"Ano, zastávka Tkalcovská se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Körnerova"" na lince 7?",ANO,"Ano, zastávka Körnerova se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Malinovského náměstí (divadlo)"" na lince 7?",ANO,"Ano, zastávka Malinovského náměstí (divadlo) se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Hlavní nádraží (kolej 1)"" na lince 7?",ANO,"Ano, zastávka Hlavní nádraží (kolej 1) se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Nové sady (kolej 3)"" na lince 7?",ANO,"Ano, zastávka Nové sady (kolej 3) se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Soukenická"" na lince 7?",ANO,"Ano, zastávka Soukenická se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Křídlovická"" na lince 7?",ANO,"Ano, zastávka Křídlovická se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Vojtova"" na lince 7?",ANO,"Ano, zastávka Vojtova se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Vsetínská"" na lince 7?",ANO,"Ano, zastávka Vsetínská se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Krematorium"" na lince 7?",ANO,"Ano, zastávka Krematorium se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Běloruská"" na lince 7?",ANO,"Ano, zastávka Běloruská se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Švermova"" na lince 7?",ANO,"Ano, zastávka Švermova se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Osová"" na lince 7?",ANO,"Ano, zastávka Osová se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Karpatská"" na lince 7?",ANO,"Ano, zastávka Karpatská se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Dunajská"" na lince 7?",ANO,"Ano, zastávka Dunajská se nachází na lince 7."
B,Je zastávka na lince? (ANO),"Je zastávka „Starý Lískovec"" na lince 7?",ANO,"Ano, zastávka Starý Lískovec se nachází na lince 7."
B,Která zastávka NENÍ na lince,"Linka 7 – je zastávka „Řečkovice"" na této lince?",NE,Zastávka Řečkovice se NENACHÁZÍ na lince 7.
B,Která zastávka NENÍ na lince,"Linka 7 – je zastávka „Filkukova"" na této lince?",NE,Zastávka Filkukova se NENACHÁZÍ na lince 7.
B,Která zastávka NENÍ na lince,"Linka 7 – je zastávka „Kořískova"" na této lince?",NE,Zastávka Kořískova se NENACHÁZÍ na lince 7.
B,Která zastávka NENÍ na lince,"Linka 7 – je zastávka „Hudcova"" na této lince?",NE,Zastávka Hudcova se NENACHÁZÍ na lince 7.
B,Která zastávka NENÍ na lince,"Linka 7 – je zastávka „Vozovna Medlánky"" na této lince?",NE,Zastávka Vozovna Medlánky se NENACHÁZÍ na lince 7.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Lesná Čertova rokle"" od zastávky „Lesná Čertova rokle""?",1. zastávka,Zastávka Lesná Čertova rokle je 1. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Halasovo náměstí"" od zastávky „Lesná Čertova rokle""?",2. zastávka,Zastávka Halasovo náměstí je 2. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Fügnerova"" od zastávky „Lesná Čertova rokle""?",3. zastávka,Zastávka Fügnerova je 3. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Bieblova"" od zastávky „Lesná Čertova rokle""?",4. zastávka,Zastávka Bieblova je 4. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Lesnická"" od zastávky „Lesná Čertova rokle""?",5. zastávka,Zastávka Lesnická je 5. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Černá Pole Zemědělská (Lesnická)"" od zastávky „Lesná Čertova rokle""?",6. zastávka,Zastávka Černá Pole Zemědělská (Lesnická) je 6. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Tomanova"" od zastávky „Lesná Čertova rokle""?",7. zastávka,Zastávka Tomanova je 7. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Jugoslávská (Lesná)"" od zastávky „Lesná Čertova rokle""?",8. zastávka,Zastávka Jugoslávská (Lesná) je 8. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Jugoslávská (Cejl)"" od zastávky „Lesná Čertova rokle""?",9. zastávka,Zastávka Jugoslávská (Cejl) je 9. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Tkalcovská"" od zastávky „Lesná Čertova rokle""?",10. zastávka,Zastávka Tkalcovská je 10. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Körnerova"" od zastávky „Lesná Čertova rokle""?",11. zastávka,Zastávka Körnerova je 11. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Malinovského náměstí (divadlo)"" od zastávky „Lesná Čertova rokle""?",12. zastávka,Zastávka Malinovského náměstí (divadlo) je 12. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Hlavní nádraží (kolej 1)"" od zastávky „Lesná Čertova rokle""?",13. zastávka,Zastávka Hlavní nádraží (kolej 1) je 13. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Nové sady (kolej 3)"" od zastávky „Lesná Čertova rokle""?",14. zastávka,Zastávka Nové sady (kolej 3) je 14. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Soukenická"" od zastávky „Lesná Čertova rokle""?",15. zastávka,Zastávka Soukenická je 15. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Křídlovická"" od zastávky „Lesná Čertova rokle""?",16. zastávka,Zastávka Křídlovická je 16. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Vojtova"" od zastávky „Lesná Čertova rokle""?",17. zastávka,Zastávka Vojtova je 17. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Vsetínská"" od zastávky „Lesná Čertova rokle""?",18. zastávka,Zastávka Vsetínská je 18. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Krematorium"" od zastávky „Lesná Čertova rokle""?",19. zastávka,Zastávka Krematorium je 19. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Běloruská"" od zastávky „Lesná Čertova rokle""?",20. zastávka,Zastávka Běloruská je 20. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Švermova"" od zastávky „Lesná Čertova rokle""?",21. zastávka,Zastávka Švermova je 21. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Osová"" od zastávky „Lesná Čertova rokle""?",22. zastávka,Zastávka Osová je 22. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Karpatská"" od zastávky „Lesná Čertova rokle""?",23. zastávka,Zastávka Karpatská je 23. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Dunajská"" od zastávky „Lesná Čertova rokle""?",24. zastávka,Zastávka Dunajská je 24. zastávka linky 7 od Lesná Čertova rokle.
B,Kolikátá zastávka,"Linka 7 – kolikátá zastávka je „Starý Lískovec"" od zastávky „Lesná Čertova rokle""?",25. zastávka,Zastávka Starý Lískovec je 25. zastávka linky 7 od Lesná Čertova rokle.
B,Jaká je N. zastávka,Linka 7 – jaká je 1. zastávka (počítáno od Lesná Čertova rokle)?,Lesná Čertova rokle,1. zastávka linky 7 je Lesná Čertova rokle.
B,Jaká je N. zastávka,Linka 7 – jaká je 2. zastávka (počítáno od Lesná Čertova rokle)?,Halasovo náměstí,2. zastávka linky 7 je Halasovo náměstí.
B,Jaká je N. zastávka,Linka 7 – jaká je 3. zastávka (počítáno od Lesná Čertova rokle)?,Fügnerova,3. zastávka linky 7 je Fügnerova.
B,Jaká je N. zastávka,Linka 7 – jaká je 4. zastávka (počítáno od Lesná Čertova rokle)?,Bieblova,4. zastávka linky 7 je Bieblova.
B,Jaká je N. zastávka,Linka 7 – jaká je 5. zastávka (počítáno od Lesná Čertova rokle)?,Lesnická,5. zastávka linky 7 je Lesnická.
B,Jaká je N. zastávka,Linka 7 – jaká je 6. zastávka (počítáno od Lesná Čertova rokle)?,Černá Pole Zemědělská (Lesnická),6. zastávka linky 7 je Černá Pole Zemědělská (Lesnická).
B,Jaká je N. zastávka,Linka 7 – jaká je 7. zastávka (počítáno od Lesná Čertova rokle)?,Tomanova,7. zastávka linky 7 je Tomanova.
B,Jaká je N. zastávka,Linka 7 – jaká je 8. zastávka (počítáno od Lesná Čertova rokle)?,Jugoslávská (Lesná),8. zastávka linky 7 je Jugoslávská (Lesná).
B,Jaká je N. zastávka,Linka 7 – jaká je 9. zastávka (počítáno od Lesná Čertova rokle)?,Jugoslávská (Cejl),9. zastávka linky 7 je Jugoslávská (Cejl).
B,Jaká je N. zastávka,Linka 7 – jaká je 10. zastávka (počítáno od Lesná Čertova rokle)?,Tkalcovská,10. zastávka linky 7 je Tkalcovská.
B,Jaká je N. zastávka,Linka 7 – jaká je 11. zastávka (počítáno od Lesná Čertova rokle)?,Körnerova,11. zastávka linky 7 je Körnerova.
B,Jaká je N. zastávka,Linka 7 – jaká je 12. zastávka (počítáno od Lesná Čertova rokle)?,Malinovského náměstí (divadlo),12. zastávka linky 7 je Malinovského náměstí (divadlo).
B,Jaká je N. zastávka,Linka 7 – jaká je 13. zastávka (počítáno od Lesná Čertova rokle)?,Hlavní nádraží (kolej 1),13. zastávka linky 7 je Hlavní nádraží (kolej 1).
B,Jaká je N. zastávka,Linka 7 – jaká je 14. zastávka (počítáno od Lesná Čertova rokle)?,Nové sady (kolej 3),14. zastávka linky 7 je Nové sady (kolej 3).
B,Jaká je N. zastávka,Linka 7 – jaká je 15. zastávka (počítáno od Lesná Čertova rokle)?,Soukenická,15. zastávka linky 7 je Soukenická.
B,Jaká je N. zastávka,Linka 7 – jaká je 16. zastávka (počítáno od Lesná Čertova rokle)?,Křídlovická,16. zastávka linky 7 je Křídlovická.
B,Jaká je N. zastávka,Linka 7 – jaká je 17. zastávka (počítáno od Lesná Čertova rokle)?,Vojtova,17. zastávka linky 7 je Vojtova.
B,Jaká je N. zastávka,Linka 7 – jaká je 18. zastávka (počítáno od Lesná Čertova rokle)?,Vsetínská,18. zastávka linky 7 je Vsetínská.
B,Jaká je N. zastávka,Linka 7 – jaká je 19. zastávka (počítáno od Lesná Čertova rokle)?,Krematorium,19. zastávka linky 7 je Krematorium.
B,Jaká je N. zastávka,Linka 7 – jaká je 20. zastávka (počítáno od Lesná Čertova rokle)?,Běloruská,20. zastávka linky 7 je Běloruská.
B,Jaká je N. zastávka,Linka 7 – jaká je 21. zastávka (počítáno od Lesná Čertova rokle)?,Švermova,21. zastávka linky 7 je Švermova.
B,Jaká je N. zastávka,Linka 7 – jaká je 22. zastávka (počítáno od Lesná Čertova rokle)?,Osová,22. zastávka linky 7 je Osová.
B,Jaká je N. zastávka,Linka 7 – jaká je 23. zastávka (počítáno od Lesná Čertova rokle)?,Karpatská,23. zastávka linky 7 je Karpatská.
B,Jaká je N. zastávka,Linka 7 – jaká je 24. zastávka (počítáno od Lesná Čertova rokle)?,Dunajská,24. zastávka linky 7 je Dunajská.
B,Jaká je N. zastávka,Linka 7 – jaká je 25. zastávka (počítáno od Lesná Čertova rokle)?,Starý Lískovec,25. zastávka linky 7 je Starý Lískovec.
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Bieblova | Fügnerova | Halasovo náměstí | Lesnická | Lesná Čertova rokle,Lesná Čertova rokle → Halasovo náměstí → Fügnerova → Bieblova → Lesnická,Správné pořadí na lince 7: Lesná Čertova rokle → Halasovo náměstí → Fügnerova → Bieblova → Lesnická
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Bieblova | Fügnerova | Halasovo náměstí | Lesnická | Černá Pole Zemědělská (Lesnická),Halasovo náměstí → Fügnerova → Bieblova → Lesnická → Černá Pole Zemědělská (Lesnická),Správné pořadí na lince 7: Halasovo náměstí → Fügnerova → Bieblova → Lesnická → Černá Pole Zemědělská (Lesnická)
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Bieblova | Fügnerova | Lesnická | Tomanova | Černá Pole Zemědělská (Lesnická),Fügnerova → Bieblova → Lesnická → Černá Pole Zemědělská (Lesnická) → Tomanova,Správné pořadí na lince 7: Fügnerova → Bieblova → Lesnická → Černá Pole Zemědělská (Lesnická) → Tomanova
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Bieblova | Jugoslávská (Lesná) | Lesnická | Tomanova | Černá Pole Zemědělská (Lesnická),Bieblova → Lesnická → Černá Pole Zemědělská (Lesnická) → Tomanova → Jugoslávská (Lesná),Správné pořadí na lince 7: Bieblova → Lesnická → Černá Pole Zemědělská (Lesnická) → Tomanova → Jugoslávská (Lesná)
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Jugoslávská (Cejl) | Jugoslávská (Lesná) | Lesnická | Tomanova | Černá Pole Zemědělská (Lesnická),Lesnická → Černá Pole Zemědělská (Lesnická) → Tomanova → Jugoslávská (Lesná) → Jugoslávská (Cejl),Správné pořadí na lince 7: Lesnická → Černá Pole Zemědělská (Lesnická) → Tomanova → Jugoslávská (Lesná) → Jugoslávská (Cejl)
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Jugoslávská (Cejl) | Jugoslávská (Lesná) | Tkalcovská | Tomanova | Černá Pole Zemědělská (Lesnická),Černá Pole Zemědělská (Lesnická) → Tomanova → Jugoslávská (Lesná) → Jugoslávská (Cejl) → Tkalcovská,Správné pořadí na lince 7: Černá Pole Zemědělská (Lesnická) → Tomanova → Jugoslávská (Lesná) → Jugoslávská (Cejl) → Tkalcovská
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Jugoslávská (Cejl) | Jugoslávská (Lesná) | Körnerova | Tkalcovská | Tomanova,Tomanova → Jugoslávská (Lesná) → Jugoslávská (Cejl) → Tkalcovská → Körnerova,Správné pořadí na lince 7: Tomanova → Jugoslávská (Lesná) → Jugoslávská (Cejl) → Tkalcovská → Körnerova
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Jugoslávská (Cejl) | Jugoslávská (Lesná) | Körnerova | Malinovského náměstí (divadlo) | Tkalcovská,Jugoslávská (Lesná) → Jugoslávská (Cejl) → Tkalcovská → Körnerova → Malinovského náměstí (divadlo),Správné pořadí na lince 7: Jugoslávská (Lesná) → Jugoslávská (Cejl) → Tkalcovská → Körnerova → Malinovského náměstí (divadlo)
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Hlavní nádraží (kolej 1) | Jugoslávská (Cejl) | Körnerova | Malinovského náměstí (divadlo) | Tkalcovská,Jugoslávská (Cejl) → Tkalcovská → Körnerova → Malinovského náměstí (divadlo) → Hlavní nádraží (kolej 1),Správné pořadí na lince 7: Jugoslávská (Cejl) → Tkalcovská → Körnerova → Malinovského náměstí (divadlo) → Hlavní nádraží (kolej 1)
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Hlavní nádraží (kolej 1) | Körnerova | Malinovského náměstí (divadlo) | Nové sady (kolej 3) | Tkalcovská,Tkalcovská → Körnerova → Malinovského náměstí (divadlo) → Hlavní nádraží (kolej 1) → Nové sady (kolej 3),Správné pořadí na lince 7: Tkalcovská → Körnerova → Malinovského náměstí (divadlo) → Hlavní nádraží (kolej 1) → Nové sady (kolej 3)
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Hlavní nádraží (kolej 1) | Körnerova | Malinovského náměstí (divadlo) | Nové sady (kolej 3) | Soukenická,Körnerova → Malinovského náměstí (divadlo) → Hlavní nádraží (kolej 1) → Nové sady (kolej 3) → Soukenická,Správné pořadí na lince 7: Körnerova → Malinovského náměstí (divadlo) → Hlavní nádraží (kolej 1) → Nové sady (kolej 3) → Soukenická
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Hlavní nádraží (kolej 1) | Křídlovická | Malinovského náměstí (divadlo) | Nové sady (kolej 3) | Soukenická,Malinovského náměstí (divadlo) → Hlavní nádraží (kolej 1) → Nové sady (kolej 3) → Soukenická → Křídlovická,Správné pořadí na lince 7: Malinovského náměstí (divadlo) → Hlavní nádraží (kolej 1) → Nové sady (kolej 3) → Soukenická → Křídlovická
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Hlavní nádraží (kolej 1) | Křídlovická | Nové sady (kolej 3) | Soukenická | Vojtova,Hlavní nádraží (kolej 1) → Nové sady (kolej 3) → Soukenická → Křídlovická → Vojtova,Správné pořadí na lince 7: Hlavní nádraží (kolej 1) → Nové sady (kolej 3) → Soukenická → Křídlovická → Vojtova
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Křídlovická | Nové sady (kolej 3) | Soukenická | Vojtova | Vsetínská,Nové sady (kolej 3) → Soukenická → Křídlovická → Vojtova → Vsetínská,Správné pořadí na lince 7: Nové sady (kolej 3) → Soukenická → Křídlovická → Vojtova → Vsetínská
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Krematorium | Křídlovická | Soukenická | Vojtova | Vsetínská,Soukenická → Křídlovická → Vojtova → Vsetínská → Krematorium,Správné pořadí na lince 7: Soukenická → Křídlovická → Vojtova → Vsetínská → Krematorium
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Běloruská | Krematorium | Křídlovická | Vojtova | Vsetínská,Křídlovická → Vojtova → Vsetínská → Krematorium → Běloruská,Správné pořadí na lince 7: Křídlovická → Vojtova → Vsetínská → Krematorium → Běloruská
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Běloruská | Krematorium | Vojtova | Vsetínská | Švermova,Vojtova → Vsetínská → Krematorium → Běloruská → Švermova,Správné pořadí na lince 7: Vojtova → Vsetínská → Krematorium → Běloruská → Švermova
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Běloruská | Krematorium | Osová | Vsetínská | Švermova,Vsetínská → Krematorium → Běloruská → Švermova → Osová,Správné pořadí na lince 7: Vsetínská → Krematorium → Běloruská → Švermova → Osová
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Běloruská | Karpatská | Krematorium | Osová | Švermova,Krematorium → Běloruská → Švermova → Osová → Karpatská,Správné pořadí na lince 7: Krematorium → Běloruská → Švermova → Osová → Karpatská
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Běloruská | Dunajská | Karpatská | Osová | Švermova,Běloruská → Švermova → Osová → Karpatská → Dunajská,Správné pořadí na lince 7: Běloruská → Švermova → Osová → Karpatská → Dunajská
B,Seřaď zastávky,Linka 7 – seřaď tyto zastávky ve správném pořadí: Dunajská | Karpatská | Osová | Starý Lískovec | Švermova,Švermova → Osová → Karpatská → Dunajská → Starý Lískovec,Správné pořadí na lince 7: Švermova → Osová → Karpatská → Dunajská → Starý Lískovec
B,Výchozí zastávka linky,Která je VÝCHOZÍ zastávka linky 7?,Lesná Čertova rokle,Výchozí zastávka linky 7 je Lesná Čertova rokle.
B,Konečná zastávka linky,Která je KONEČNÁ zastávka linky 7?,Starý Lískovec,Konečná zastávka linky 7 je Starý Lískovec.
B,Počet zastávek,Kolik zastávek má linka 7?,25 zastávek,Linka 7 má celkem 25 zastávek.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Líšeň Mifkova"" (směr Nemocnice Bohunice (terminál tramvaj))?",Jírova (tunel),Po zastávce Líšeň Mifkova na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Jírova (tunel).
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Jírova (tunel)"" (směr Nemocnice Bohunice (terminál tramvaj))?",Kotlanova,Po zastávce Jírova (tunel) na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Kotlanova.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Kotlanova"" (směr Nemocnice Bohunice (terminál tramvaj))?",Masarova,Po zastávce Kotlanova na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Masarova.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Masarova"" (směr Nemocnice Bohunice (terminál tramvaj))?",Novolíšeňská,Po zastávce Masarova na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Novolíšeňská.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Novolíšeňská"" (směr Nemocnice Bohunice (terminál tramvaj))?",Líšeňská,Po zastávce Novolíšeňská na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Líšeňská.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Líšeňská"" (směr Nemocnice Bohunice (terminál tramvaj))?",Bílá hora,Po zastávce Líšeňská na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Bílá hora.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Bílá hora"" (směr Nemocnice Bohunice (terminál tramvaj))?",Bělohorská,Po zastávce Bílá hora na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Bělohorská.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Bělohorská"" (směr Nemocnice Bohunice (terminál tramvaj))?",Krásného,Po zastávce Bělohorská na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Krásného.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Krásného"" (směr Nemocnice Bohunice (terminál tramvaj))?",Židovský hřbitov,Po zastávce Krásného na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Židovský hřbitov.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Židovský hřbitov"" (směr Nemocnice Bohunice (terminál tramvaj))?",Geislerova,Po zastávce Židovský hřbitov na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Geislerova.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Geislerova"" (směr Nemocnice Bohunice (terminál tramvaj))?",Životského,Po zastávce Geislerova na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Životského.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Životského"" (směr Nemocnice Bohunice (terminál tramvaj))?",Masná (Křenová),Po zastávce Životského na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Masná (Křenová).
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Masná (Křenová)"" (směr Nemocnice Bohunice (terminál tramvaj))?",Vlhká,Po zastávce Masná (Křenová) na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Vlhká.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Vlhká"" (směr Nemocnice Bohunice (terminál tramvaj))?",Hlavní nádraží (kolej 3),Po zastávce Vlhká na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Hlavní nádraží (kolej 3).
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Hlavní nádraží (kolej 3)"" (směr Nemocnice Bohunice (terminál tramvaj))?",Nové sady (kolej 3),Po zastávce Hlavní nádraží (kolej 3) na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Nové sady (kolej 3).
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Nové sady (kolej 3)"" (směr Nemocnice Bohunice (terminál tramvaj))?",Soukenická,Po zastávce Nové sady (kolej 3) na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Soukenická.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Soukenická"" (směr Nemocnice Bohunice (terminál tramvaj))?",Křídlovická,Po zastávce Soukenická na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Křídlovická.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Křídlovická"" (směr Nemocnice Bohunice (terminál tramvaj))?",Vojtova,Po zastávce Křídlovická na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Vojtova.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Vojtova"" (směr Nemocnice Bohunice (terminál tramvaj))?",Vsetínská,Po zastávce Vojtova na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Vsetínská.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Vsetínská"" (směr Nemocnice Bohunice (terminál tramvaj))?",Krematorium,Po zastávce Vsetínská na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Krematorium.
B,Následující zastávka,"Linka 8 – jaká zastávka NÁSLEDUJE po „Krematorium"" (směr Nemocnice Bohunice (terminál tramvaj))?",Běloruská,Po zastávce Krematorium na lince 8 (směr Nemocnice Bohunice (terminál tramvaj)) následuje Běloruská.
